Activity Type, Date, Duration, Distance, Average heart rate
Cycling, 05/02/2020, 91, 16.06, 108
Cycling, 25/02/2020, 85, 25.66, 123
Running, 17/01/2020, 93, 10.77, 125
Swimming, 23/01/2020, 60,  3.38, 117
Swimming, 01/02/2020, 93,  5.76, 143
Cycling, 03/01/2020, 95, 24.78, 131
Cycling, 15/01/2020, 89, 19.93, 137
Running, 07/01/2020, 87, 14.23, 112
Cycling, 22/02/2020, 32,  9.00, 149
Swimming, 07/02/2020, 79,  3.45, 142
Swimming, 14/02/2020, 58,  2.35, 108
Swimming, 05/01/2020, 117,  5.18, 117
Running, 16/01/2020, 42,  4.46, 139
Running, 29/01/2020, 76, 10.51, 136
Swimming, 08/01/2020, 34,  1.02, 97
Cycling, 06/02/2020, 120, 30.89, 139
Cycling, 14/02/2020, 35,  9.42, 103
Cycling, 19/02/2020, 119, 24.22, 129
Running, 23/02/2020, 119, 20.17, 105
Running, 09/01/2020, 35,  4.70, 95
Running, 30/01/2020, 60,  6.37, 97
Running, 07/02/2020, 47,  5.68, 140
Running, 25/01/2020, 106, 16.05, 96
Cycling, 03/02/2020, 47, 11.61, 149
Swimming, 12/02/2020, 117,  4.77, 133
Cycling, 22/01/2020, 62, 17.81, 145
Cycling, 20/01/2020, 57, 12.50, 117
Cycling, 28/01/2020, 66, 16.90, 137
Running, 24/02/2020, 103, 14.72, 117
Cycling, 01/02/2020, 42,  9.40, 111
Swimming, 02/02/2020, 116,  5.16, 104
Cycling, 02/01/2020, 73, 13.35, 124
Cycling, 18/01/2020, 119, 30.54, 135
Cycling, 10/01/2020, 108, 23.67, 132
Cycling, 06/01/2020, 92, 27.02, 138
Cycling, 10/02/2020, 37,  6.30, 149
Cycling, 20/02/2020, 111, 31.17, 102
Swimming, 13/02/2020, 116,  5.96, 140
Running, 16/02/2020, 109, 18.30, 147
Swimming, 26/02/2020, 109,  6.52, 98
Cycling, 26/01/2020, 72, 18.92, 128
Running, 21/02/2020, 87,  8.82, 109
Running, 26/02/2020, 68, 11.11, 97
Swimming, 27/02/2020, 91,  3.67, 112
Cycling, 17/02/2020, 111, 28.00, 150
Swimming, 04/01/2020, 35,  1.92, 148
Swimming, 09/02/2020, 80,  3.32, 142
Cycling, 12/01/2020, 93, 20.90, 98
Running, 14/01/2020, 61,  8.41, 144
Cycling, 31/01/2020, 75, 13.32, 127
